city,city_ibge_code,date,is_last,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,place_type,latitude,longitude
Ibicoara,2912202.0,2020-07-14,True,8,40.87681,2020-07-14,0.0,0,0,0,city,-13.4059,-41.284
Ibicuí,2912301.0,2020-07-14,True,69,425.97852,2020-07-14,0.0,0,2,0,city,-14.845,-39.9879
Ibipeba,2912400.0,2020-07-14,True,7,38.43831,2020-07-14,0.0,0,0,0,city,-11.6438,-42.0195
Ibipitanga,2912509.0,2020-07-14,True,7,46.97356,2020-07-14,0.0,0,0,0,city,-12.8804,-42.4856
Ibiquera,2912608.0,2020-07-14,True,0,,2020-07-14,0.0,0,0,0,city,-12.6444,-40.9338
Ibirapitanga,2912707.0,2020-07-14,True,144,616.04278,2020-07-14,0.0208,3,0,0,city,-14.1649,-39.3787
Ibirapuã,2912806.0,2020-07-14,True,65,752.57613,2020-07-14,0.0154,1,0,0,city,-17.6832,-40.1129
Ibirataia,2912905.0,2020-07-14,True,119,777.16823,2020-07-14,0.0168,2,3,0,city,-14.0643,-39.6459
Ibitiara,2913002.0,2020-07-14,True,10,61.20326,2020-07-14,0.1,1,0,0,city,-12.6502,-42.2179
Ibotirama,2913200.0,2020-07-14,True,89,330.52327,2020-07-14,0.0112,1,1,0,city,-12.1779,-43.2167
Ichu,2913309.0,2020-07-14,True,4,64.45375,2020-07-14,0.25,1,0,0,city,-11.7431,-39.1905
Igaporã,2913408.0,2020-07-14,True,9,57.54476,2020-07-14,0.1111,1,0,0,city,-13.774000000000001,-42.7155
Igrapiúna,2913457.0,2020-07-14,True,63,476.33449,2020-07-14,0.0159,1,0,0,city,-13.8295,-39.1361
Iguaí,2913507.0,2020-07-14,True,278,1032.84292,2020-07-14,0.018,5,0,1,city,-14.7528,-40.0894
Ilhéus,2913606.0,2020-07-14,True,1899,1169.86084,2020-07-14,0.0358,68,40,0,city,-14.793,-39.046
Inhambupe,2913705.0,2020-07-14,True,36,90.16681,2020-07-14,0.0556,2,1,0,city,-11.780999999999999,-38.355
Ipecaetá,2913804.0,2020-07-14,True,16,110.44385,2020-07-14,0.0625,1,0,0,city,-12.3028,-39.3069
Ipiaú,2913903.0,2020-07-14,True,927,2020.79655,2020-07-14,0.0119,11,4,0,city,-14.1226,-39.7353
Ipirá,2914000.0,2020-07-14,True,101,169.47731,2020-07-14,0.0297,3,1,0,city,-12.1561,-39.7359
Irajuba,2914208.0,2020-07-14,True,12,165.28926,2020-07-14,0.0,0,0,0,city,-13.2563,-40.0848
Iramaia,2914307.0,2020-07-14,True,6,70.2823,2020-07-14,0.0,0,0,0,city,-13.2902,-40.9595
Iraquara,2914406.0,2020-07-14,True,92,364.84772,2020-07-14,0.0,0,0,0,city,-12.2429,-41.6155
Irará,2914505.0,2020-07-14,True,39,134.32527,2020-07-14,0.0256,1,4,0,city,-12.0504,-38.7631
Irecê,2914604.0,2020-07-14,True,232,317.95195,2020-07-14,0.0086,2,13,0,city,-11.3033,-41.8535
Itabela,2914653.0,2020-07-14,True,125,408.71044,2020-07-14,0.008,1,11,0,city,-16.5732,-39.5593
Itaberaba,2914703.0,2020-07-14,True,419,649.72321,2020-07-14,0.0286,12,3,0,city,-12.5242,-40.3059
Itabuna,2914802.0,2020-07-14,True,3723,1746.05929,2020-07-14,0.0215,80,69,0,city,-14.7876,-39.2781
Itacaré,2914901.0,2020-07-14,True,155,547.78061,2020-07-14,0.0323,5,1,0,city,-14.2784,-38.9959
Itaeté,2915007.0,2020-07-14,True,53,330.09467,2020-07-14,0.0,0,0,0,city,-12.9831,-40.9677
Itagi,2915106.0,2020-07-14,True,14,113.35115,2020-07-14,0.0,0,1,0,city,-14.1615,-40.0131
Itagibá,2915205.0,2020-07-14,True,106,727.07319,2020-07-14,0.0283,3,4,0,city,-14.2782,-39.8449
Itagimirim,2915304.0,2020-07-14,True,19,276.60504,2020-07-14,0.0,0,0,0,city,-16.0819,-39.6133
Itaguaçu da Bahia,2915353.0,2020-07-14,True,8,55.4439,2020-07-14,0.0,0,0,0,city,-11.0147,-42.3997
Itaju do Colônia,2915403.0,2020-07-14,True,25,374.13948,2020-07-14,0.0,0,0,0,city,-15.1366,-39.7283
Itajuípe,2915502.0,2020-07-14,True,499,2435.21546,2020-07-14,0.012,6,20,0,city,-14.6788,-39.3698
Itamaraju,2915601.0,2020-07-14,True,794,1231.27501,2020-07-14,0.0176,14,6,1,city,-17.0378,-39.5386
Itamari,2915700.0,2020-07-14,True,18,224.01991,2020-07-14,0.0,0,0,0,city,-13.7782,-39.683
Itambé,2915809.0,2020-07-14,True,23,99.78741,2020-07-14,0.0,0,0,0,city,-15.2429,-40.63
Itanagra,2915908.0,2020-07-14,True,11,170.78093,2020-07-14,0.1818,2,1,0,city,-12.2614,-38.0436
Itanhém,2916005.0,2020-07-14,True,144,742.07678,2020-07-14,0.0208,3,0,1,city,-17.1642,-40.3321
Itaparica,2916104.0,2020-07-14,True,138,620.83858,2020-07-14,0.0362,5,5,0,city,-12.8932,-38.68
Itapé,2916203.0,2020-07-14,True,85,970.20888,2020-07-14,0.0235,2,1,0,city,-14.8876,-39.4239
Itapebi,2916302.0,2020-07-14,True,91,887.02603,2020-07-14,0.011,1,2,0,city,-15.9551,-39.5329
Itapetinga,2916401.0,2020-07-14,True,315,413.67355,2020-07-14,0.0381,12,9,3,city,-15.2475,-40.2482
Itapicuru,2916500.0,2020-07-14,True,91,255.79042,2020-07-14,0.011,1,2,0,city,-11.3088,-38.2262
Itapitanga,2916609.0,2020-07-14,True,17,164.84049,2020-07-14,0.0588,1,0,0,city,-14.4139,-39.5657
Itaquara,2916708.0,2020-07-14,True,11,132.22743,2020-07-14,0.0,0,0,0,city,-13.4459,-39.9378
Itarantim,2916807.0,2020-07-14,True,43,217.7546,2020-07-14,0.0233,1,3,0,city,-15.6528,-40.065
Itatim,2916856.0,2020-07-14,True,48,331.33154,2020-07-14,0.0625,3,1,0,city,-12.7099,-39.6952
Itiruçu,2916906.0,2020-07-14,True,11,87.46819,2020-07-14,0.0,0,0,0,city,-13.529000000000002,-40.1472
Itiúba,2917003.0,2020-07-14,True,14,38.79298,2020-07-14,0.0714,1,2,0,city,-10.6948,-39.8446
Itororó,2917102.0,2020-07-14,True,48,235.50191,2020-07-14,0.0208,1,0,0,city,-15.11,-40.0684
Ituaçu,2917201.0,2020-07-14,True,2,10.54741,2020-07-14,0.5,1,0,0,city,-13.8107,-41.3003
Ituberá,2917300.0,2020-07-14,True,219,765.68072,2020-07-14,0.032,7,1,1,city,-13.7249,-39.1481
Iuiú,2917334.0,2020-07-14,True,3,27.28761,2020-07-14,0.0,0,1,0,city,-14.4054,-43.5595
Jaborandi,2917359.0,2020-07-14,True,1,11.92606,2020-07-14,0.0,0,0,0,city,-13.6071,-44.4255
Jacaraci,2917409.0,2020-07-14,True,1,6.73764,2020-07-14,0.0,0,0,0,city,-14.8541,-42.4329
Jacobina,2917508.0,2020-07-14,True,215,267.02104,2020-07-14,0.014,3,0,1,city,-11.1812,-40.5117
Jaguaquara,2917607.0,2020-07-14,True,534,981.2028,2020-07-14,0.0056,3,11,0,city,-13.5248,-39.964
Jaguarari,2917706.0,2020-07-14,True,105,312.77927,2020-07-14,0.0095,1,0,0,city,-10.2569,-40.1999
Jaguaripe,2917805.0,2020-07-14,True,66,351.28806,2020-07-14,0.0303,2,4,0,city,-13.1109,-38.8939
Jandaíra,2917904.0,2020-07-14,True,77,719.02138,2020-07-14,0.013,1,0,0,city,-11.5616,-37.7853
Jequié,2918001.0,2020-07-14,True,1819,1166.27983,2020-07-14,0.0247,45,47,2,city,-13.8509,-40.0877
Jeremoabo,2918100.0,2020-07-14,True,29,71.67041,2020-07-14,0.0,0,0,0,city,-10.0685,-38.3471
Jiquiriçá,2918209.0,2020-07-14,True,5,34.39499,2020-07-14,0.0,0,0,0,city,-13.2621,-39.5737
Jitaúna,2918308.0,2020-07-14,True,48,429.87641,2020-07-14,0.0417,2,1,0,city,-14.0131,-39.8969
João Dourado,2918357.0,2020-07-14,True,121,480.38749,2020-07-14,0.0165,2,3,0,city,-11.3486,-41.6548
Juazeiro,2918407.0,2020-07-14,True,1480,682.94979,2020-07-14,0.0236,35,49,2,city,-9.41622,-40.5033
Jucuruçu,2918456.0,2020-07-14,True,13,142.45014,2020-07-14,0.0,0,0,0,city,-16.8488,-40.1641
Jussara,2918506.0,2020-07-14,True,18,117.77022,2020-07-14,0.0,0,0,0,city,-11.0431,-41.9702
Jussari,2918555.0,2020-07-14,True,19,325.7329,2020-07-14,0.0,0,0,0,city,-15.192,-39.491
Jussiape,2918605.0,2020-07-14,True,2,32.33107,2020-07-14,0.0,0,0,0,city,-13.5155,-41.5882
Lafaiete Coutinho,2918704.0,2020-07-14,True,16,429.64554,2020-07-14,0.0625,1,0,0,city,-13.6541,-40.2119
Laje,2918803.0,2020-07-14,True,42,176.1745,2020-07-14,0.0238,1,3,0,city,-13.1673,-39.4213
Lajedão,2918902.0,2020-07-14,True,8,202.2756,2020-07-14,0.0,0,0,0,city,-17.6056,-40.3383
Lajedinho,2919009.0,2020-07-14,True,2,52.86809,2020-07-14,0.0,0,0,0,city,-12.3529,-40.9048
Lajedo do Tabocal,2919058.0,2020-07-14,True,26,303.66737,2020-07-14,0.0,0,1,0,city,-13.4663,-40.2204
Lamarão,2919108.0,2020-07-14,True,36,433.36945,2020-07-14,0.0,0,0,0,city,-11.773,-38.887
Lapão,2919157.0,2020-07-14,True,50,183.66822,2020-07-14,0.0,0,0,0,city,-11.3851,-41.8286
Lauro de Freitas,2919207.0,2020-07-14,True,3545,1786.43419,2020-07-14,0.0155,55,52,0,city,-12.8978,-38.321
Lençóis,2919306.0,2020-07-14,True,44,385.66044,2020-07-14,0.0,0,0,0,city,-12.5616,-41.3928
Licínio de Almeida,2919405.0,2020-07-14,True,12,96.86794,2020-07-14,0.0,0,0,0,city,-14.6842,-42.5095
