city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,lat,lon
Conceição do Jacuípe,2908507.0,2020-07-01,True,161,0.0,0,3,0,-12.3268,-38.7684
Conde,2908606.0,2020-07-01,True,40,0.1,4,3,0,-11.8179,-37.6131
Condeúba,2908705.0,2020-07-01,True,26,0.0,0,2,0,-14.9022,-41.9718
Coração de Maria,2908903.0,2020-07-01,True,54,0.0,0,5,0,-12.2333,-38.7487
Cordeiros,2909000.0,2020-07-01,True,1,0.0,0,0,0,-15.0356,-41.9308
Coribe,2909109.0,2020-07-01,True,2,0.0,0,-1,0,-13.8232,-44.4586
Coronel João Sá,2909208.0,2020-07-01,True,14,0.0,0,0,0,-10.2847,-37.9198
Correntina,2909307.0,2020-07-01,True,5,0.0,0,0,0,-13.3477,-44.6333
Cotegipe,2909406.0,2020-07-01,True,1,0.0,0,0,0,-12.0228,-44.2566
Cravolândia,2909505.0,2020-07-01,True,4,0.0,0,-1,0,-13.3531,-39.8031
Cristópolis,2909703.0,2020-07-01,True,27,0.0,0,2,0,-12.2249,-44.4214
Crisópolis,2909604.0,2020-07-01,True,11,0.0,0,3,0,-11.5059,-38.1515
Cruz das Almas,2909802.0,2020-07-01,True,101,0.0198,2,12,0,-12.6675,-39.1008
Curaçá,2909901.0,2020-07-01,True,68,0.0,0,2,0,-8.984580000000001,-39.8997
Cândido Sales,2906709.0,2020-07-01,True,102,0.0294,3,15,0,-15.4993,-41.2414
Cícero Dantas,2907806.0,2020-07-01,True,34,0.0294,1,1,0,-10.5897,-38.3794
Dias d'Ávila,2910057.0,2020-07-01,True,420,0.0262,11,22,2,-12.6187,-38.2926
Dom Basílio,2910107.0,2020-07-01,True,6,0.0,0,1,0,-13.7565,-41.7677
Dom Macedo Costa,2910206.0,2020-07-01,True,8,0.0,0,1,0,-12.9016,-39.1923
Dário Meira,2910008.0,2020-07-01,True,24,0.0417,1,2,0,-14.4229,-39.9031
Elísio Medrado,2910305.0,2020-07-01,True,2,0.0,0,0,0,-12.9417,-39.5191
Encruzilhada,2910404.0,2020-07-01,True,56,0.0,0,0,0,-15.5302,-40.9124
Entre Rios,2910503.0,2020-07-01,True,74,0.0,0,1,0,-11.9392,-38.0871
Esplanada,2910602.0,2020-07-01,True,42,0.0,0,4,0,-11.7942,-37.9432
Euclides da Cunha,2910701.0,2020-07-01,True,29,0.0345,1,4,0,-10.5078,-39.0153
