city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,lat,lon
Boquira,2904100.0,2020-07-01,27,21508.0,True,False,14,65.09206,2020-07-01,0.0,0,50,city,BA,0,0,-12.8205,-42.7324
Botuporã,2904209.0,2020-07-01,27,10211.0,True,False,0,,2020-07-01,0.0,0,23,city,BA,0,0,-13.3772,-42.5163
Brejões,2904308.0,2020-07-01,27,14295.0,True,False,11,76.94998000000001,2020-07-01,0.0,0,22,city,BA,0,0,-13.1039,-39.7988
Brotas de Macaúbas,2904506.0,2020-07-01,27,10231.0,True,False,1,9.77422,2020-07-01,0.0,0,27,city,BA,0,0,-11.9915,-42.6326
Brumado,2904605.0,2020-07-01,27,67195.0,True,False,186,276.80631,2020-07-01,0.0161,3,101,city,BA,6,1,-14.2021,-41.6696
Buerarema,2904704.0,2020-07-01,27,18349.0,True,False,93,506.83960999999994,2020-07-01,0.0538,5,77,city,BA,2,0,-14.9595,-39.3028
Buritirama,2904753.0,2020-07-01,27,21174.0,True,False,30,141.6832,2020-07-01,0.0,0,34,city,BA,1,0,-10.7171,-43.6302
Caatiba,2904803.0,2020-07-01,27,6758.0,True,False,49,725.06659,2020-07-01,0.0,0,20,city,BA,6,0,-14.9699,-40.4092
Cabaceiras do Paraguaçu,2904852.0,2020-07-01,27,18807.0,True,False,15,79.75754,2020-07-01,0.0,0,48,city,BA,1,0,-12.5317,-39.1902
Cachoeira,2904902.0,2020-07-01,27,33470.0,True,False,81,242.00777000000002,2020-07-01,0.0123,1,89,city,BA,3,0,-12.5994,-38.9587
Caculé,2905008.0,2020-07-01,27,23170.0,True,False,2,8.63185,2020-07-01,0.5,1,34,city,BA,1,0,-14.5003,-42.2229
Caetanos,2905156.0,2020-07-01,27,14542.0,True,False,2,13.75327,2020-07-01,0.0,0,67,city,BA,0,0,-14.3347,-40.9175
Caetité,2905206.0,2020-07-01,27,50975.0,True,False,44,86.31681999999999,2020-07-01,0.0,0,44,city,BA,0,0,-14.0684,-42.4861
Cafarnaum,2905305.0,2020-07-01,27,18437.0,True,False,3,16.27163,2020-07-01,0.0,0,5,city,BA,0,0,-11.6914,-41.4688
Cairu,2905404.0,2020-07-01,27,18176.0,True,False,49,269.58627,2020-07-01,0.0204,1,51,city,BA,2,0,-13.4904,-39.0465
Caldeirão Grande,2905503.0,2020-07-01,27,13327.0,True,False,40,300.14257000000003,2020-07-01,0.025,1,68,city,BA,7,0,-11.0208,-40.2956
Camacan,2905602.0,2020-07-01,27,31988.0,True,False,315,984.7442800000001,2020-07-01,0.0222,7,83,city,BA,18,0,-15.4142,-39.4919
Camamu,2905800.0,2020-07-01,27,35316.0,True,False,91,257.67357999999996,2020-07-01,0.022000000000000002,2,67,city,BA,14,0,-13.9398,-39.1071
Camaçari,2905701.0,2020-07-01,27,299132.0,True,False,1449,484.40154,2020-07-01,0.0166,24,104,city,BA,63,1,-12.6996,-38.3263
Campo Alegre de Lourdes,2905909.0,2020-07-01,27,28798.0,True,False,37,128.48113999999998,2020-07-01,0.027000000000000003,1,70,city,BA,2,0,-9.522210000000001,-43.0126
Campo Formoso,2906006.0,2020-07-01,27,71206.0,True,False,96,134.8201,2020-07-01,0.0,0,87,city,BA,6,0,-10.5105,-40.32
Canarana,2906204.0,2020-07-01,27,26176.0,True,False,24,91.68704,2020-07-01,0.0,0,99,city,BA,2,0,-11.6858,-41.7677
Canavieiras,2906303.0,2020-07-01,27,31099.0,True,False,34,109.32826999999999,2020-07-01,0.0588,2,80,city,BA,0,0,-15.6722,-38.9536
Candeal,2906402.0,2020-07-01,27,8258.0,True,False,18,217.97045,2020-07-01,0.0,0,30,city,BA,0,0,-11.8049,-39.1203
Candeias,2906501.0,2020-07-01,27,87076.0,True,False,674,774.03647,2020-07-01,0.0267,18,93,city,BA,16,1,-12.6716,-38.5472
Candiba,2906600.0,2020-07-01,27,14319.0,True,False,12,83.80473,2020-07-01,0.0,0,33,city,BA,0,0,-14.4097,-42.8667
Cansanção,2906808.0,2020-07-01,27,34834.0,True,False,37,106.21806000000001,2020-07-01,0.0541,2,83,city,BA,1,0,-10.6647,-39.4944
Canudos,2906824.0,2020-07-01,27,16668.0,True,False,15,89.9928,2020-07-01,0.0667,1,34,city,BA,1,0,-9.900139999999999,-39.1471
Capela do Alto Alegre,2906857.0,2020-07-01,27,11637.0,True,False,14,120.30592,2020-07-01,0.0,0,53,city,BA,0,0,-11.6658,-39.8349
Capim Grosso,2906873.0,2020-07-01,27,30662.0,True,False,107,348.96615,2020-07-01,0.027999999999999997,3,82,city,BA,13,0,-11.3797,-40.0089
Caravelas,2906907.0,2020-07-01,27,22016.0,True,False,48,218.02326000000002,2020-07-01,0.0,0,29,city,BA,9,0,-17.7268,-39.2597
Caraíbas,2906899.0,2020-07-01,27,8951.0,True,False,6,67.03161999999999,2020-07-01,0.0,0,37,city,BA,3,0,-14.7177,-41.2603
Cardeal da Silva,2907004.0,2020-07-01,27,9295.0,True,False,7,75.30931,2020-07-01,0.0,0,45,city,BA,0,0,-11.9472,-37.9469
Carinhanha,2907103.0,2020-07-01,27,29018.0,True,False,2,6.89227,2020-07-01,0.0,0,27,city,BA,0,0,-14.2985,-43.7724
Casa Nova,2907202.0,2020-07-01,27,71969.0,True,False,110,152.84358999999998,2020-07-01,0.0273,3,34,city,BA,19,0,-9.16408,-40.974
