2020-07-16 19:31:13,825 - (main):		Starting iteration
2020-07-16 19:32:07,530 - (request_from_api):		Requesting page 25
2020-07-16 19:32:07,836 - (request_from_api):		<Response [429]>
2020-07-16 19:32:07,837 - (request_from_api):		Requesting page 25
2020-07-16 19:32:08,143 - (request_from_api):		<Response [429]>
2020-07-16 19:32:08,144 - (request_from_api):		Requesting page 25
2020-07-16 19:32:08,450 - (request_from_api):		<Response [429]>
2020-07-16 19:32:08,451 - (request_from_api):		Requesting page 25
2020-07-16 19:32:08,712 - (request_from_api):		<Response [429]>
2020-07-16 19:32:08,713 - (request_from_api):		Requesting page 25
2020-07-16 19:32:08,924 - (request_from_api):		<Response [429]>
2020-07-16 19:32:08,925 - (request_from_api):		Requesting page 25
2020-07-16 19:32:09,296 - (request_from_api):		<Response [429]>
2020-07-16 19:32:09,297 - (request_from_api):		Requesting page 25
2020-07-16 19:32:09,679 - (request_from_api):		<Response [429]>
2020-07-16 19:32:09,679 - (request_from_api):		Requesting page 25
2020-07-16 19:32:09,892 - (request_from_api):		<Response [429]>
2020-07-16 19:32:09,893 - (request_from_api):		Requesting page 25
2020-07-16 19:32:10,191 - (request_from_api):		<Response [429]>
2020-07-16 19:32:10,192 - (request_from_api):		Requesting page 25
2020-07-16 19:32:10,498 - (request_from_api):		<Response [429]>
2020-07-16 19:32:10,499 - (request_from_api):		Requesting page 25
2020-07-16 19:32:10,736 - (request_from_api):		<Response [429]>
2020-07-16 19:32:10,737 - (request_from_api):		Requesting page 25
2020-07-16 19:32:11,009 - (request_from_api):		<Response [429]>
2020-07-16 19:32:11,010 - (request_from_api):		Requesting page 25
2020-07-16 19:32:11,229 - (request_from_api):		<Response [429]>
2020-07-16 19:32:11,230 - (request_from_api):		Requesting page 25
2020-07-16 19:32:11,522 - (request_from_api):		<Response [429]>
2020-07-16 19:32:11,523 - (request_from_api):		Requesting page 25
2020-07-16 19:32:11,762 - (request_from_api):		<Response [429]>
2020-07-16 19:32:11,763 - (request_from_api):		Requesting page 25
2020-07-16 19:32:11,988 - (request_from_api):		<Response [429]>
2020-07-16 19:32:11,990 - (request_from_api):		Requesting page 25
2020-07-16 19:32:12,341 - (request_from_api):		<Response [429]>
2020-07-16 19:32:12,341 - (request_from_api):		Requesting page 25
2020-07-16 19:32:12,853 - (request_from_api):		<Response [429]>
2020-07-16 19:32:12,854 - (request_from_api):		Requesting page 25
2020-07-16 19:32:13,157 - (request_from_api):		<Response [429]>
2020-07-16 19:32:13,158 - (request_from_api):		Requesting page 25
2020-07-16 19:32:13,375 - (request_from_api):		<Response [429]>
2020-07-16 19:32:13,376 - (request_from_api):		Requesting page 25
2020-07-16 19:32:13,673 - (request_from_api):		<Response [429]>
2020-07-16 19:32:13,674 - (request_from_api):		Requesting page 25
2020-07-16 19:32:13,980 - (request_from_api):		<Response [429]>
2020-07-16 19:32:13,981 - (request_from_api):		Requesting page 25
2020-07-16 19:32:14,218 - (request_from_api):		<Response [429]>
2020-07-16 19:32:14,219 - (request_from_api):		Requesting page 25
2020-07-16 19:32:14,853 - (request_from_api):		<Response [200]>
2020-07-16 19:32:14,911 - (request_from_api):		Requesting page 26
2020-07-16 19:32:15,619 - (request_from_api):		<Response [200]>
2020-07-16 19:32:15,668 - (request_from_api):		Requesting page 27
2020-07-16 19:32:15,890 - (request_from_api):		<Response [429]>
2020-07-16 19:32:15,890 - (request_from_api):		Requesting page 27
2020-07-16 19:32:16,543 - (request_from_api):		<Response [200]>
2020-07-16 19:32:16,565 - (request_from_api):		Finishing
2020-07-16 19:32:16,566 - (dataprep):		Starting
2020-07-16 19:32:16,739 - (dataprep):		Finishing
2020-07-16 19:32:16,741 - (save_data):		Starting
2020-07-16 19:32:16,892 - (save_data):		Shape Database Cidades: (410, 3)
2020-07-16 19:32:16,897 - (save_data):		Shape Database Ultimos casos: (410, 11)
2020-07-16 19:32:16,897 - (save_data):		Finishing
2020-07-16 19:32:16,898 - (main):		Next iteration at 2020-07-17 01:32:16.898646
2020-07-16 19:32:16,898 - (main):		Finishing iteration
